Sample,Pollen,Pheromone,BP,EBO,Control
BP_1_pol_S1_L001,1,1,1,0,0
O_N_1_S10_L001,0,1,0,1,0
O_N_2_S11_L001,0,1,0,1,0
O_N_3_S12_L001,0,1,0,1,0
X_1_pol_S13_L001,1,0,0,0,1
X_2_pol_S14_L001,1,0,0,0,1
X_3_pol_S15_L001,1,0,0,0,1
X_N_1_S16_L001,0,0,0,0,1
X_N_2_S17_L001,0,0,0,0,1
X_N_3_S18_L001,0,0,0,0,1
BP_2_pol_S2_L001,1,1,1,0,0
BP_3_pol_S3_L001,1,1,1,0,0
BP_N_1_S4_L001,0,1,1,0,0
BP_N_2_S5_L001,0,1,1,0,0
BP_N_3_S6_L001,0,1,1,0,0
Oci_1_pol_S7_L001,1,1,0,1,0
Oci_2_pol_S8_L001,1,1,0,1,0
Oci_3_pol_S9_L001,1,1,0,1,0
