"","dynamicColors","dynamicMods"
"1","turquoise","1"
"9","cyan","14"
"5","yellow","4"
"18","tan","12"
"4","blue","2"
"20","red","6"
"16","pink","8"
"2","green","5"
"14","greenyellow","11"
"13","purple","10"
"24","grey60","17"
"8","midnightblue","15"
"23","lightcyan","16"
"28","darkorange","26"
"3","brown","3"
"11","lightgreen","18"
"21","darkgrey","24"
"25","darkturquoise","23"
"22","darkred","21"
"27","salmon","13"
"26","orange","25"
"15","skyblue","28"
"19","lightyellow","19"
"7","black","7"
"6","royalblue","20"
"12","darkgreen","22"
"10","magenta","9"
"17","white","27"
