"","module","hub_gene","BeeBase"
"1","kME19","413331","GB49517"
"5","kME19","412288","GB54939"
"21","kME19","551530","GB53909"
"22","kME19","727278","GB52575"
"25","kME19","727591","GB49468"
"26","kME21","412454","GB47950"
"28","kME21","725613","GB50923"
"30","kME21","726636","GB40363"
"34","kME21","726875",NA
"38","kME21","413409","GB45923"
"73","kME10","408551","GB45943"
"74","kME10","724293","GB18300"
"75","kME10","724971","GB50482"
"79","kME10","408395","GB52052"
"81","kME10","409852","GB47669"
"82","kME22","410211","GB51059"
"97","kME22","100578955","GB54893"
"103","kME22","551176",NA
"104","kME22","551369",NA
"105","kME22","725936",NA
"106","kME15","552447","GB45147"
"107","kME15","725038","GB44564"
"108","kME15","725382","GB43823"
"109","kME15","408361","GB45023"
"112","kME15","410824","GB55389"
"115","kME26","100577603",NA
"116","kME26","725462","GB44987"
"118","kME26","100577646",NA
"119","kME26","727254","GB41641"
"122","kME26","552193","GB51487"
"123","kME28","725422","GB50931"
"129","kME28","725154","GB55007"
"132","kME28","550677","GB11848"
"133","kME28","410730","GB45851"
"136","kME5","726789","GB52102"
"137","kME5","726013","GB40539"
"138","kME5","724868","GB46776"
"139","kME5","552266","GB51201"
"140","kME5","551330","GB55639"
"141","kME25","100578016",NA
"142","kME25","102653713",NA
"143","kME25","107964742",NA
"144","kME25","551579","GB51029"
"147","kME25","552546","GB53331"
"149","kME16","727205","GB52658"
"150","kME16","410766","GB42159"
"153","kME16","413625","GB41775"
"155","kME16","412410","GB41024"
"159","kME16","727228","GB18353"
"162","kME7","409018","GB42728"
"199","kME7","411277","GB41894"
"227","kME7","551826","GB49193"
"234","kME7","409893","GB53719"
"248","kME7","551691","GB49535"
"291","kME13","726899","GB52437"
"292","kME13","408750","GB55853"
"293","kME13","724405",NA
"294","kME13","412360","GB45423"
"295","kME13","410542","GB52726"
"297","kME3","551432","GB52595"
"309","kME3","411070","GB46691"
"310","kME3","410951","GB55760"
"318","kME3","411859","GB56005"
"323","kME3","724978",NA
"325","kME8","412189","GB19920"
"326","kME8","552022","GB51910"
"327","kME8","725268","GB54702"
"329","kME8","726389","GB50966"
"331","kME8","408655","GB55512"
"332","kME24","726415","GB45063"
"334","kME24","726842","GB49684"
"337","kME24","411050","GB53122"
"346","kME24","724983","GB49611"
"348","kME24","726970","GB45548"
"351","kME6","410162","GB44289"
"355","kME6","551576","GB45534"
"357","kME6","408580","GB42207"
"359","kME6","725317","GB53250"
"361","kME6","412195","GB46532"
